,FlowCond,FlowEvap,PerHumidity,PowChi,PressDiffCond,PressDiffEvap,TempAmbient,TempCondIn,TempCondOut,TempEvapIn,TempEvapOut,TempWetBulb,PerFreqFanB,PowFanA,PerFreqFanA,PowFanB,PerFreqChiP,PowChiP,PerFreqConP,PowConP,Tonnage,Temperature(F),Dew Point(F),Humidity(%),Wind Speed(mph),Wind Gust(mph),Pressure(in),Precip.(in),weekday,hour
count,0.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,19995.0,37889.0,19995.0,37889.0,19996.0,19995.0,19995.0,37873.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0,37889.0
mean,,1758.1985351488088,63.25672458349118,125.74034468381299,13.6148202653603,16.501987234310896,66.53825423916184,68.77023255282484,74.97799832723445,45.90250913527447,42.45695259373771,58.10610548382908,94.49668035635426,5.265041999939126,94.49668035635426,5.201567631248956,94.99761843132926,17.169747940724132,99.59309827456865,21.703968497385524,252.75302473091912,65.35287286547546,52.3848874343477,65.68304785029956,6.20631317796722,2.4236057958774313,29.431968381324022,0.002293541661168129,3.08976220011085,11.51450289002085
std,,11.692378704260971,18.56548123123394,56.08631263853142,4.10438769914498,2.3043622835839184,14.826035932958332,4.1740476302252985,5.468786343269453,1.5377600025706253,0.878205514343854,12.170657598327546,12.701631978121947,4.378075009877968,12.701631978121947,4.325580063984674,0.3098994095530088,0.08515731391846221,3.000545510420192,1.4571775281425052,122.46320578240275,15.209438478767908,14.131886052587104,17.573892862629933,4.237705319609391,7.2450529322787345,0.1575170583889621,0.01943477268443443,1.9935079835253717,6.950100941730665
min,,0.0,16.31003761,-6.253352165,-1.444332004,-1.724259019,24.24737358,48.15174103,63.77254868,42.31676102,40.36189651,21.07047462,0.0,0.0,0.0,0.0,40.0,16.78000069,34.0,0.689999998,0.0,22.0,9.0,17.0,0.0,0.0,29.01,0.0,0.0,0.0
25%,,1753.335693,48.71793365,74.18479156,12.26805019,15.38947964,54.87309265,65.97766113,70.9197998,44.55948257,42.0524025,48.51256561,98.11386108,0.0,98.11386108,0.0,95.0,17.11000061,100.0,21.81999969,133.2237752,54.0,42.0,52.0,3.0,0.0,29.32,0.0,1.0,5.0
50%,,1758.3182370000004,65.04238892,120.7371063,15.12203026,16.40955925,68.42929077,68.21568298,73.95419312,46.14745331,42.19113922,60.73811722,99.95101929,8.719999312999999,99.95101929,8.619999886,95.0,17.17000008,100.0,21.89999962,256.0726318,67.0,55.0,69.0,6.0,0.0,29.42,0.0,3.0,12.0
75%,,1763.2684329999993,78.17668152,171.16438290000005,16.42649078,17.92206955,77.63008118,71.31764221,79.07456207,47.11921692,42.38312149,68.11613464,100.0,9.149999618999999,100.0,9.039999962000001,95.0,17.22999954,100.0,21.98999977,359.5839844,77.0,64.0,81.0,9.0,0.0,29.53,0.0,5.0,18.0
max,,1788.117676,98.38267517,381.0822144,19.4914093,32.8303299,98.00733948,85.26505279999998,95.85198975,58.30662918,59.31116486,78.46186829,100.0,10.19999981,100.0,10.07999992,95.0,17.47999954,100.0,22.39999962,702.8869629,97.0,75.0,97.0,31.0,47.0,30.02,0.6,6.0,23.0
