,PerFreqFanB,PowFanB,PerFreqFanA,PowFanA,PerHumidity,TempWetBulb,FlowCond,FlowEvap,PowChi,PressDiffCond,PressDiffEvap,TempCondIn,TempCondOut,TempEvapIn,TempEvapOut,TempAmbient,PerFreqChiP,PowChiP,PerFreqConP,PowConP,Tonnage,Temperature(F),Dew Point(F),Humidity(%),Wind Speed(mph),Wind Gust(mph),Pressure(in),Precip.(in),weekday,hour
count,50379.0,32689.0,50379.0,32689.0,50379.0,50379.0,0.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0,32689.0,32689.0,32689.0,45945.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0,50379.0
mean,58.24929999357044,5.5553284181468365,58.80977180676147,5.888267321071333,65.06662026914607,53.44064692347274,,1724.9359161041407,104.71970635933818,3.347625107123719,5.211723522272247,68.29130275821926,71.02439658810819,46.05839274103175,42.78643635794763,60.458121173870474,95.99325777302667,17.270404423109373,81.54758481446358,13.759155674561068,244.54212474599947,59.37469977570019,47.23559419599436,66.80448202624109,6.544830187181167,2.8373330157406857,29.43583040552395,0.00602433553663236,2.9146271263820243,11.520335854224975
std,41.42251299373251,3.9139425551389713,41.00392568696961,4.098078858890923,20.019920497511198,15.70622986152432,,9.929316420506169,68.8338457595472,2.053270903371085,0.060467448155743085,8.322621215745105,9.430888570350023,1.7861101504173955,1.2171592956892516,17.51115362183404,0.57093959464669,0.09174658884477872,23.769310509960714,8.74133941770168,134.24430314502706,17.925874270613477,18.556649867023925,18.013219694598604,4.802142448470488,8.113485949645268,0.1786772550021223,0.040955482000693946,1.9970193521934856,6.913325908021564
min,0.0,0.0,0.0,0.0,15.55387878,16.45555687,,0.0,-11.01206303,-1.754183054,0.673798025,50.5304184,59.4362793,42.23523712,40.28218842,20.06987,34.99999619,9.350000381000001,36.0,0.660000026,0.0,17.0,2.0,17.0,0.0,0.0,28.76,0.0,0.0,0.0
25%,12.1018796,0.679999948,15.53051758,0.75,49.486522675,40.273323059999996,,1720.6768190000003,49.40349388,1.0313310025,5.1827714445,62.716394425000004,63.85980034,44.430402755,42.03607941,46.063154225,96.0,17.21999931,52.0,2.480000019,123.891276,45.0,31.0,53.0,3.0,0.0,29.33,0.0,1.0,6.0
50%,57.61358261,8.319999695,58.66456604,8.929999352000001,66.63156891,52.23192215,,1724.676636,66.84279633,4.713521957,5.208080769,65.53990936,66.08202362,46.29533005,42.279354100000006,59.14443588,96.0,17.27000046,100.0,20.55999947,195.2975464,58.0,47.0,70.0,6.0,0.0,29.42,0.0,3.0,12.0
75%,100.0,8.769999504,100.0,9.209999084,81.248435975,69.79508591000001,,1729.1468510000002,165.51376345,4.829062939,5.2334661485,76.68213654,80.651817325,47.36142349,42.70153809,75.68511963,96.0,17.31999969,100.0,20.69000053,368.6970622,75.0,66.0,82.0,9.0,0.0,29.52,0.0,5.0,18.0
max,100.0,9.859999657000001,100.0,10.42999935,98.5092926,79.89958191,,1759.9512940000004,380.4832764,10.01727962,5.583160877,86.88857269,96.9525528,75.25608826,70.57241058,98.2397995,96.0,17.63999939,100.0,21.13999939,843.0632324,98.0,76.0,100.0,36.0,55.0,29.99,1.3,6.0,23.0
